dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,"129,8448175","92,10959035",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,"2099,371389","2099,371389",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,"15,25210084","259,7610555",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,"24,07692308","24,07692308",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,"18,45",0,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,"51,03773585","12,7254536",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,"361,1642267","13,14564653",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,"49,03921569","11,74682271",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,"18,56177298","8,108026399",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,"22,08333333","25,64435019",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,"483,9439408","483,9439408",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,"122,4586466","15,44110276",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,10,"9,73556E+32",Perde,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,"3,10465482","3,160575035",Perde,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,"11,15110959","4,927474944",Ganha ou Empata,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,"71507,7094","388634,0328",Perde,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,"1005,330109","120,5501208",Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\estimations.csv,"1890,760784","48,56187291",Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\liz-friedman-covid.csv,"206,8376068","100,5788141",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\Crime1.csv,"30,39781526","18,39652408",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\accidental_deaths.csv,"24,80210843","4,949186748",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_injured.csv,"14,11868003","6,59557857",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_killed.csv,"8,82366512","4,936794269",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\knifecrime2.csv,"3120,577756","307,2501662",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_injured.csv,"38,41900648","7,95742164",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_killed.csv,"5,890211091","4,922828652",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000000.csv,"999,0484852","12,01300918",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000001.csv,"125,7501602","6,656440042",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000002.csv,"300,4053358","3,987287829",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000003.csv,"84,15746377","4,771984527",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000004.csv,"998,1357519","19,52318899",Ganha ou Empata,,,,,,
