dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,"0,2572690893","0,260320609",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,"0,01299343219","0,01299343219",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,"0,1696969697","0,1674897669",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,"0,07673863363","0,07673863363",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,"0,196322713",inf,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,"0,03771492022","0,9482855649",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,"0,2617355666","0,1702773651",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,"0,03919216235","0,207401667",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,"0,1062163193","0,2574134351",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,"0,08309729862","0,7633607895",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,"0,03338472157","0,03338472157",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,"0,06713319907","0,3145977836",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,"0,7453559925",0,Perde,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,"0,4736491467","0,5195829588",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,"0,1512086557","0,3777024038",Ganha ou Empata,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,"0,1859860412","0,2027982691",Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,"0,0442787797","0,6038666925",Ganha ou Empata,,,,,,
