dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,3,2,Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,2,143,Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\estimations.csv,4,2,Perde,,,,,,
data-lakes\clustering\COVID\liz-friedman-covid.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\Crime1.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\accidental_deaths.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_injured.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_killed.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\knifecrime2.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_injured.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_killed.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000000.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000001.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000002.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000003.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000004.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000005.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000006.csv,3,2,Perde,,,,,,
data-lakes\clustering\Divorces\39100009-000007.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100011.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100016.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100019.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100020.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100021.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100029.csv,2,2,Ganha ou Empata,,,,,,
