dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,"0,8277578026","0,7691185752",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,"0,8715202096","0,8715202096",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,"0,8719482778","0,8958823575",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,"0,8958805084","0,8958805084",Perde,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,"0,8393311265",-1,Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,"0,9489225136","0,5905232428",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,"0,9403131809","0,7253288824",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,"0,9469194749","0,6697723205",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,"0,8377061761","0,5978705159",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,"0,8872038841","0,7591811617",Ganha ou Empata,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,"0,7933452339","0,7933452339",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,"0,9409087555","0,6172612882",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,"0,6557178404",1,Perde,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,"0,3632003387","0,3275624257",Ganha ou Empata,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,"0,7612879738","0,4779153011",Ganha ou Empata,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,"0,9822736844","0,9975625853",Perde,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,"0,9557977226","0,846126002",Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\estimations.csv,"0,9159281752","0,747008547",Ganha ou Empata,,,,,,
data-lakes\clustering\COVID\liz-friedman-covid.csv,"0,862971515","0,7157225097",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\Crime1.csv,"0,04096258658","0,6794142771",Perde,,,,,,
data-lakes\clustering\Crimes\accidental_deaths.csv,"0,9328107932","0,5020270864",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_injured.csv,"0,8435486549","0,566235096",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\children_killed.csv,"0,8073530199","0,4869998782",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\knifecrime2.csv,"0,9440035179","0,538480155",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_injured.csv,"0,9540328021","0,6092000554",Ganha ou Empata,,,,,,
data-lakes\clustering\Crimes\teens_killed.csv,"0,4783451463","0,5085319437",Perde,,,,,,
data-lakes\clustering\Divorces\39100009-000000.csv,"0,982181726","0,7076763201",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000001.csv,"0,9096127976","0,6438782156",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000002.csv,"0,9291624762","0,4974470632",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000003.csv,"0,8112321849","0,561299944",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000004.csv,"0,9824061149","0,7679038645",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000005.csv,"0,7611464839","0,5620331891",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000006.csv,"0,8804057063","0,5617784158",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100009-000007.csv,"0,999995648","0,4394730345",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100011.csv,"0,9986198613","0,8856848138",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100016.csv,"0,9986272813","0,8841769129",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100019.csv,"0,9986144489",1,Perde,,,,,,
data-lakes\clustering\Divorces\39100020.csv,"0,9980690343","0,3270292827",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100021.csv,"0,9125285597","0,4282799466",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100029.csv,"0,9986808354","0,8645153348",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100033.csv,"0,9985867379",1,Perde,,,,,,
data-lakes\clustering\Divorces\39100037.csv,"0,9779759617","0,6461463907",Ganha ou Empata,,,,,,
data-lakes\clustering\Divorces\39100038.csv,"0,9986144489","0,755896623",Ganha ou Empata,,,,,,
data-lakes\clustering\EU-Fruit-Data\tag00120.csv,"0,43555775","0,334989464",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100004.csv,"0,99883583","0,4509987731",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100009.csv,"0,998837088","0,8577087329",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100010.csv,"0,9887095645","0,7073062063",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100020.csv,"0,9984470343","0,2951352341",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100024.csv,"0,9984455298","0,3220417744",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100027.csv,"0,9984455298",-1,Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100030.csv,"0,9984455298","0,7331941149",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100084.csv,"0,998446388","0,4279405929",Ganha ou Empata,,,,,,
data-lakes\clustering\Farm-Operators\32100166.csv,"0,9988367545",1,Perde,,,,,,
data-lakes\clustering\Farm-Operators\32100192.csv,"0,9988360597","0,4217589406",Ganha ou Empata,,,,,,
data-lakes\clustering\Gas-Emissions\co2-nuts-2.csv,"0,7499930154","0,7283875283",Ganha ou Empata,,,,,,
data-lakes\clustering\Gas-Emissions\med_en1.csv,"0,734893641","0,7286083382",Ganha ou Empata,,,,,,
data-lakes\clustering\Gas-Emissions\med_en2.csv,"0,7433797192","0,7640138637",Perde,,,,,,
data-lakes\clustering\Gas-Emissions\t2020_30.csv,"0,9365428597","0,5978438112",Ganha ou Empata,,,,,,
data-lakes\clustering\Hiking-Tours\videos_utf8.csv,"0,2545767746","0,6388678536",Perde,,,,,,
data-lakes\clustering\Marriage\both_sexes.csv,"0,9999854383","0,7151343702",Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\divorce.csv,"0,9999972986",-1,Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\men.csv,"0,999993983","0,6966893175",Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\women.csv,"0,8986020716","0,6832640918",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\B-9.csv,"0,7135138447","0,630790277",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\C-6.csv,"0,99925175","0,9889102299",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\D-1.csv,"0,9965977714","0,9965346395",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\E-7.csv,"0,9992909095","0,9895208416",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\F-4.csv,"0,996580647","0,9964921379",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\G-3.csv,"0,9992088059","0,9874839767",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-1.csv,"0,9449680309","0,3013911002",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-2.csv,"0,9469506104","0,8984791027",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-3.csv,"0,9452424105","0,8878465342",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-4.csv,"0,9453871009","0,8956022147",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-1.csv,"0,9432039478","0,9270783811",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-2.csv,"0,9469928463","0,3403178952",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-3.csv,"0,9456156794","0,8911640919",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-4.csv,"0,9286300893","0,893763652",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-6.csv,"0,9457945255","0,8961270374",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-7.csv,"0,9448390588","0,9145465208",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-8.csv,"0,9499912199","0,05978428838",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-9.csv,"0,9479662564","0,7829429172",Ganha ou Empata,,
data-lakes\clustering\Rockfall-Risk\Z-1.csv,"0,9987865968","0,9582175616",Ganha ou Empata,,,,,
data-lakes\clustering\Rockfall-Risk\Z-2.csv,"0,6628247091","0,2873522899",Ganha ou Empata,,,,,
data-lakes\clustering\Second-Language\37100078.csv,"0,9986435409","0,7852152386",Ganha ou Empata,,,,,,
data-lakes\clustering\Second-Language\37100141.csv,"0,9999998865","0,8949584675",Ganha ou Empata,,,
data-lakes\clustering\Second-Language\CS_ANG.csv,"0,7447228139","0,6489463151",Ganha ou Empata,,
data-lakes\clustering\Teen-Pregnancy\13100166.csv,"0,9999943122","0,6535781582",Ganha ou Empata,,
data-lakes\clustering\Teen-Pregnancy\13100169.csv,"0,9920801475","0,9999999966",Perde,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100170.csv,"0,9907023522","0,7630023331",Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100172.csv,"0,9915513916","0,6922701953",Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100173.csv,"0,9915524604","0,4957857311",Ganha ou Empata,,,,,
data-lakes\clustering\Tuition-Fees\34100282.csv,"0,9986407456","0,2606995749",Ganha ou Empata,,,,,
data-lakes\clustering\Tuition-Fees\37100004.csv,"0,9988496567","0,3417470189",Ganha ou Empata,,,,,
data-lakes\clustering\Tuition-Fees\37100005.csv,"0,9896031202","0,4601398236",Ganha ou Empata,,,,,
data-lakes\clustering\Tuition-Fees\37100006.csv,"0,9988531366","0,5091226982",Ganha ou Empata,,,,,
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,"0,8850147793","0,2167486185",Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,"0,7108385302",-1,Ganha ou Empata,,,,,
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,"0,9468659874","0,9468659874",Ganha ou Empata,,,,,
